feature,importance_mean,importance_std
nr.employed,0.05155931588754189,0.004271808806127913
euribor3m,0.018379625807821088,0.0037103377041199535
month,0.011985876397471585,0.0021140217325748578
contact,0.009526820250955238,0.0031684936685025078
cons.conf.idx,0.00943675114392184,0.0024070240237886206
pdays,0.005109512830793928,0.001540420721611215
poutcome,0.0033073051794895838,0.0010517316078191231
age,0.0026553360417944315,0.0011370559398748577
day_of_week,0.0019493401811405797,0.0007952161449785752
campaign,0.0018062909807066373,0.001021865025277985
emp.var.rate,0.001475607634794096,0.0006821522434421406
cons.price.idx,0.0010677537855559248,0.0008256422367862813
default,0.0009433227982451941,0.00035653928334154246
education,0.00034428215953581366,0.00048152165014768027
previous,6.859108920229673e-05,0.0003940353287754392
marital,5.389405160624028e-05,7.26080960221391e-05
housing,2.8804424736983415e-05,0.00011298695462929057
loan,1.5308799943414274e-05,8.884594432686418e-06
job,-0.0001521887824897261,0.00039333769772731804
